OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,OrderDetailStatusID,AddedBy,AddedOn,ModifiedBy,ModifiedOn
1,1,25,18,21.0500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
2,1,13,40,46.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
3,1,1,39,10.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
4,2,2,24,14.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
5,2,38,41,10.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
6,2,17,49,53.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
7,3,41,21,2.0000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
8,4,3,32,25.0000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
9,4,21,18,38.0000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
10,4,27,34,34.8000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
11,4,12,17,9.6500,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
12,5,26,50,7.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
13,5,40,15,17.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
14,5,30,50,1.5000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
15,5,11,29,9.2000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
16,6,30,5,1.5000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
17,6,25,9,21.0500,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
18,6,5,41,22.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
19,6,13,7,46.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
20,7,13,48,46.0000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
21,7,43,23,23.2500,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
22,8,8,34,2.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
23,9,31,20,1.3000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
24,9,28,14,13.0000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
25,10,4,26,12.4900,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
26,10,39,17,4.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
27,10,34,22,1.8000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
28,11,28,33,13.0000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
29,11,19,9,3.5000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
30,11,25,36,21.0500,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
31,11,40,43,17.0000,0.0,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
32,12,40,24,17.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
33,12,30,28,1.5000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
34,12,23,26,1.2000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
35,13,12,7,9.6500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
36,13,11,50,9.2000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
37,14,16,27,40.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
38,14,7,26,18.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
