ProductVendorID,ProductID,VendorID,AddedBy,AddedOn,ModifiedBy,ModifiedOn
2,2,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
3,3,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
4,4,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
5,5,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
6,6,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
7,7,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
8,8,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
9,9,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
10,10,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
11,11,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
12,12,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
13,13,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
14,14,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
15,15,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
16,16,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
17,17,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
18,18,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
19,19,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
20,20,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
21,21,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
22,22,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
23,23,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
24,24,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
25,25,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
26,26,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
27,27,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
28,28,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
29,29,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
30,30,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
31,31,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
32,32,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
33,33,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
34,34,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
35,35,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
36,36,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
37,37,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
38,38,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
39,39,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
40,40,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
41,41,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
42,42,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
43,43,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
44,1,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
45,1,11,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
46,2,11,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
47,3,11,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
48,4,11,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
