PurchaseOrderDetailID,PurchaseOrderID,ProductID,Quantity,UnitCost,ReceivedDate,AddedBy,AddedOn,ModifiedBy,ModifiedOn
1,1,1,40,7.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
2,1,2,120,10.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
3,1,3,200,18.7500,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
4,1,4,40,9.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
5,1,5,80,16.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
6,1,6,40,10.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
7,1,7,80,13.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
8,1,8,80,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
9,1,9,400,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
10,1,10,200,9.5625,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
11,1,11,40,6.9000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
12,1,12,80,7.2375,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
13,1,13,200,34.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
14,1,14,80,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
15,1,15,240,13.8000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
16,1,16,80,30.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
17,1,17,80,39.7500,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
18,1,18,80,22.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
19,1,19,150,3.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
20,1,20,80,29.2500,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
21,1,21,240,28.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
22,1,22,200,2.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
23,1,23,80,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
24,1,24,250,2.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
25,1,25,80,15.7875,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
26,1,26,200,5.2500,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
27,1,27,80,26.1000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
28,1,28,120,9.7500,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
29,1,29,80,16.0125,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
30,1,30,80,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
31,1,31,80,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
32,1,32,80,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
33,1,33,80,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
34,1,34,100,0.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
35,1,35,160,14.6250,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
36,1,36,40,7.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
37,1,37,100,2.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
38,1,38,200,7.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
39,1,39,100,2.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
40,1,40,160,12.7500,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
41,1,41,100,0.5000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
42,1,42,400,1.0000,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
43,1,43,80,17.4375,2026-01-02T08:00:00,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
