StockTakeID,StockTakeDate,ProductID,QuantityOnHand,ExpectedQuantity,AddedBy,AddedOn,ModifiedBy,ModifiedOn
1,2024-09-15T09:00:00,1,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
2,2024-09-15T09:01:00,2,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
3,2024-09-15T09:02:00,3,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
4,2024-09-15T09:03:00,4,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
5,2024-09-15T09:04:00,5,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
6,2024-09-15T09:05:00,6,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
7,2024-09-15T09:06:00,7,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
8,2024-09-15T09:07:00,8,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
9,2024-09-15T09:08:00,9,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
10,2024-09-15T09:09:00,10,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
11,2024-09-15T09:10:00,11,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
12,2024-09-15T09:11:00,12,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
13,2024-09-15T09:12:00,13,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
14,2024-09-15T09:13:00,14,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
15,2024-09-15T09:14:00,15,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
16,2024-09-15T09:15:00,16,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
17,2024-09-15T09:16:00,17,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
18,2024-09-15T09:17:00,18,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
19,2024-09-15T09:18:00,19,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
20,2024-09-15T09:19:00,20,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
21,2024-09-15T09:20:00,21,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
22,2024-09-15T09:21:00,22,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
23,2024-09-15T09:22:00,23,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
24,2024-09-15T09:23:00,24,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
25,2024-09-15T09:24:00,25,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
26,2024-09-15T09:25:00,26,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
27,2024-09-15T09:26:00,27,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
28,2024-09-15T09:27:00,28,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
29,2024-09-15T09:28:00,29,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
30,2024-09-15T09:29:00,30,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
31,2024-09-15T09:30:00,31,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
32,2024-09-15T09:31:00,32,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
33,2024-09-15T09:32:00,33,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
34,2024-09-15T09:33:00,34,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
35,2024-09-15T09:34:00,35,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
36,2024-09-15T09:35:00,36,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
37,2024-09-15T09:36:00,37,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
38,2024-09-15T09:37:00,38,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
39,2024-09-15T09:38:00,39,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
40,2024-09-15T09:39:00,40,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
41,2024-09-15T09:40:00,41,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
42,2024-09-15T09:41:00,42,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
43,2024-09-15T09:42:00,43,0,0,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
